location,size,total_sqft,bath,price,bhk,price_per_sqft
Rukmaiah Layout,3 BHK,2.0,3.0,86.06,3,4303000.0
Hennur Road,3 BHK,2.0,3.0,149.0,3,7450000.0
Bommanahalli,3 BHK,2.0,3.0,96.0,3,4800000.0
Yelahanka,3 BHK,2.0,4.0,127.0,3,6350000.0
Kathriguppe,3 BHK,2.0,3.0,125.0,3,6250000.0
KR Puram,2 Bedroom,2.0,2.0,71.0,2,3550000.0
Hosa Road,2 BHK,2.0,2.0,32.37,2,1618499.9999999998
Panathur,2 BHK,2.0,2.0,36.0,2,1800000.0
Maruthi Sevanagar,7 Bedroom,2.0,7.0,299.0,7,14950000.0
Yelahanka,2 BHK,2.0,2.0,51.5,2,2575000.0
Devanahalli Int. Airport,2 BHK,2.0,2.0,80.0,2,4000000.0
Puttanahalli,3 BHK,2.0,3.0,65.0,3,3250000.0
Thubarahalli,2 BHK,2.0,2.0,78.0,2,3900000.0
Benson Town,3 BHK,2.0,4.0,350.0,3,17500000.0
Hoodi,3 BHK,2.0,3.0,98.32,3,4916000.0
Jakkuru Layout,2 BHK,2.0,2.0,54.0,2,2700000.0
Vijayanagar,3 BHK,2.0,3.0,116.0,3,5800000.0
Palanahalli,4 Bedroom,2.0,5.0,500.0,4,25000000.0
Old Madras Road,2 BHK,2.0,2.0,32.72,2,1636000.0
 Thanisandra,1 RK,2.0,1.0,25.25,1,1262500.0
Devasandra Extension,6 Bedroom,2.0,6.0,180.0,6,9000000.0
Nagondanahalli,2 BHK,2.0,2.0,47.0,2,2350000.0
Chikkalasandra,3 BHK,2.0,2.0,50.0,3,2500000.0
Chandapura,3 BHK,2.0,2.0,33.0,3,1650000.0
2nd Phase Judicial Layout,3 BHK,2.0,2.0,50.75,3,2537500.0
BEML Layout,2 BHK,2.0,2.0,45.0,2,2250000.0
Amruthahalli,2 BHK,2.0,3.0,475.0,2,23750000.0
Marathahalli,5 Bedroom,2.0,4.0,135.0,5,6750000.0
Kothannur,2 BHK,2.0,2.0,40.0,2,2000000.0
Koramangala,3 BHK,2.0,2.0,155.0,3,7750000.0
Hoodi,4 BHK,2.0,4.0,95.1,4,4755000.0
Lingadheeranahalli,3 BHK,2.0,3.0,93.0,3,4650000.0
Dommasandra,3 BHK,2.0,3.0,56.0,3,2800000.0
Sanjay nagar,2 BHK,2.0,2.0,72.2,2,3610000.0
Marathahalli,2 BHK,2.0,2.0,70.0,2,3500000.0
1st Block HRBR Layout,8 Bedroom,2.0,7.0,235.0,8,11750000.0
Kannamangala,3 BHK,2.0,3.0,65.0,3,3250000.0
Chandapura,2 BHK,2.0,1.0,18.5,2,925000.0
Richmond Town,3 BHK,2.0,3.0,187.0,3,9350000.0
"Sarjapur Road, ",3 Bedroom,2.0,3.0,330.0,3,16500000.0
Electronics City Phase 1,1 BHK,2.0,1.0,55.0,1,2750000.0
Hebbal Kempapura,3 BHK,2.0,4.0,300.0,3,15000000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,74.0,3,3700000.0
Bellandur,2 BHK,2.0,2.0,40.0,2,2000000.0
Kengeri Satellite Town,3 Bedroom,2.0,3.0,95.0,3,4750000.0
Bannerghatta Road,5 Bedroom,2.0,5.0,158.0,5,7900000.0
Sarjapur  Road,3 BHK,2.0,3.0,110.0,3,5500000.0
Sarjapur,2 BHK,2.0,2.0,35.0,2,1750000.0
Billekahalli,2 BHK,2.0,2.0,52.0,2,2600000.0
Bagalur Main Road,4 Bedroom,2.0,4.0,300.0,4,15000000.0
Haralur Road,2 BHK,2.0,2.0,44.0,2,2200000.0
Thanisandra,2 BHK,2.0,2.0,42.1,2,2105000.0
Doddathoguru,2 BHK,2.0,2.0,25.0,2,1250000.0
Harlur,2 BHK,2.0,2.0,84.0,2,4200000.0
Byadarahalli,4 BHK,2.0,3.0,450.0,4,22500000.0
Poorna Pragna Layout,2 BHK,2.0,2.0,39.55,2,1977499.9999999998
Chamrajpet,9 BHK,2.0,9.0,296.0,9,14800000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,65.0,2,3250000.0
Yeshwanthpur,3 BHK,2.0,3.0,100.0,3,5000000.0
Judicial Layout,3 BHK,2.0,3.0,64.0,3,3200000.0
"Varthur Road, ",3 BHK,2.0,3.0,76.0,3,3800000.0
Kodihalli,4 BHK,2.0,5.0,696.0,4,34800000.0
Horamavu Agara,2 BHK,2.0,2.0,37.49,2,1874500.0
Nagasandra,5 Bedroom,2.0,5.0,140.0,5,7000000.0
Kanakpura Road,3 BHK,2.0,2.0,69.0,3,3450000.0
Bannerghatta Road,2 BHK,2.0,2.0,50.0,2,2500000.0
Kanakpura Road,2 BHK,2.0,2.0,46.0,2,2300000.0
Banashankari Stage III,2 BHK,2.0,2.0,58.4,2,2920000.0
Chikka Banaswadi,2 BHK,2.0,2.0,65.0,2,3250000.0
Babusapalaya,3 BHK,2.0,2.0,41.39,3,2069500.0
Bannerghatta Road,3 BHK,2.0,3.0,100.0,3,5000000.0
NGR Layout,2 BHK,2.0,2.0,52.48,2,2624000.0
Babusapalaya,3 BHK,2.0,2.0,66.0,3,3300000.0
Outer Ring Road East,2 BHK,2.0,2.0,62.0,2,3100000.0
Devanahalli,2 BHK,2.0,2.0,51.0,2,2550000.0
Kavika Layout,3 Bedroom,2.0,2.0,75.0,3,3750000.0
Vinayaka Nagar,3 BHK,2.0,3.0,95.0,3,4750000.0
Anekal,2 BHK,2.0,2.0,22.0,2,1100000.0
Horamavu Agara,2 BHK,2.0,2.0,47.65,2,2382500.0
Banashankari Stage II,2 BHK,2.0,2.0,150.0,2,7500000.0
Whitefield,2 BHK,2.0,2.0,71.0,2,3550000.0
JP Nagar,3 Bedroom,2.0,3.0,135.0,3,6750000.0
Poorna Pragna Layout,3 BHK,2.0,2.0,58.99,3,2949500.0
Bhoganhalli,3 BHK,2.0,3.0,65.0,3,3250000.0
Yelahanka New Town,1 BHK,2.0,1.0,16.5,1,825000.0
Yelahanka,3 BHK,2.0,3.0,95.0,3,4750000.0
Neeladri Nagar,2 BHK,2.0,2.0,68.0,2,3400000.0
Kogilu,2 Bedroom,2.0,2.0,28.0,2,1400000.0
Dodda Kempaiah Layout,2 BHK,2.0,2.0,45.0,2,2250000.0
Horamavu Banaswadi,2 BHK,2.0,2.0,46.0,2,2300000.0
Hennur Busstop,2 BHK,2.0,2.0,62.7,2,3135000.0
KR Puram,3 BHK,2.0,3.0,46.0,3,2300000.0
GB Palya,2 BHK,2.0,2.0,45.0,2,2250000.0
AMS Layout,3 BHK,2.0,2.0,80.0,3,4000000.0
KR Puram,2 Bedroom,2.0,2.0,90.0,2,4500000.0
9th Block Jayanagar,1 Bedroom,2.0,1.0,150.0,1,7500000.0
Karuna Nagar,4 BHK,2.0,3.0,135.0,4,6750000.0
Kadugodi,3 BHK,2.0,4.0,127.0,3,6350000.0
Ashwathnagar,3 BHK,2.0,4.0,280.0,3,14000000.0
Hebbal Kempapura,3 BHK,2.0,3.0,380.0,3,19000000.0
Gaurava Nagar,3 BHK,2.0,2.0,46.0,3,2300000.0
HRBR Layout,2 BHK,2.0,2.0,98.0,2,4900000.0
Kodichikkanahalli,1 BHK,2.0,1.0,38.0,1,1900000.0
Budigere,1 BHK,2.0,1.0,32.0,1,1600000.0
Sector 7 HSR Layout,5 Bedroom,2.0,4.0,90.0,5,4500000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,57.39,3,2869500.0
Hoodi,3 BHK,2.0,3.0,65.0,3,3250000.0
Kanakpura Road,2 BHK,2.0,1.0,45.0,2,2250000.0
Singasandra,2 BHK,2.0,2.0,55.0,2,2750000.0
Yelahanka,3 BHK,2.0,2.0,52.48,3,2624000.0
Basapura,2 BHK,2.0,2.0,60.0,2,3000000.0
Hoodi,3 BHK,2.0,3.0,66.39,3,3319500.0
Thigalarapalya,2 Bedroom,2.0,2.0,65.0,2,3250000.0
Begur Road,2 BHK,2.0,2.0,43.2,2,2160000.0
Kasturi Nagar,2 BHK,2.0,2.0,80.0,2,4000000.0
Hebbal Kempapura,5 Bedroom,2.0,5.0,200.0,5,10000000.0
Akshaya Nagar,3 BHK,2.0,2.0,85.0,3,4250000.0
Jakkur,3 BHK,2.0,3.0,124.0,3,6200000.0
Sarjapur  Road,3 BHK,2.0,2.0,75.0,3,3750000.0
Kammasandra,2 BHK,2.0,2.0,29.0,2,1450000.0
Whitefield,3 BHK,2.0,2.0,78.0,3,3900000.0
Begur Road,2 BHK,2.0,2.0,44.08,2,2204000.0
Kengeri Satellite Town ( BDA SITE),4 Bedroom,2.0,3.0,172.0,4,8600000.0
Hebbal,3 BHK,2.0,3.0,127.0,3,6350000.0
Electronic City,2 BHK,2.0,2.0,65.65,2,3282500.0000000005
Panathur,2 BHK,2.0,2.0,70.0,2,3500000.0
AGS Layout,3 BHK,2.0,2.0,85.0,3,4250000.0
Kengeri,1 BHK,2.0,1.0,10.0,1,500000.0
Srinagar,4 Bedroom,2.0,3.0,166.0,4,8300000.0
Rachenahalli,2 BHK,2.0,2.0,53.5,2,2675000.0
Varthur,2 BHK,2.0,2.0,40.0,2,2000000.0
Vittasandra,2 BHK,2.0,2.0,68.0,2,3400000.0
HSR Layout,2 BHK,2.0,2.0,61.0,2,3050000.0
Uttarahalli,3 BHK,2.0,2.0,56.0,3,2800000.0
Binny Pete,3 BHK,2.0,5.0,234.0,3,11700000.0
Dasarahalli,2 BHK,2.0,2.0,55.0,2,2750000.0
Brigade Road,2 Bedroom,2.0,1.0,220.0,2,11000000.0
Bannerghatta,4 Bedroom,2.0,4.0,50.0,4,2500000.0
Channasandra,2 BHK,2.0,2.0,35.0,2,1750000.0
Hessarghatta,2 BHK,2.0,2.0,27.0,2,1350000.0
Hebbal,2 BHK,687.325,2.0,42.72,2,6215.40028370858
Belathur,2 BHK,2.0,2.0,45.0,2,2250000.0
Maruthi HBCS Layout,3 BHK,2.0,3.0,39.5,3,1975000.0
Electronic City,2 BHK,2.0,2.0,42.0,2,2100000.0
Uttarahalli,2 BHK,2.0,2.0,44.0,2,2200000.0
Srirampura,3 BHK,2.0,3.0,100.0,3,5000000.0
Malleshwaram,9 Bedroom,2.0,8.0,150.0,9,7500000.0
Yelahanka,1 BHK,2.0,1.0,24.0,1,1200000.0
9th Phase JP Nagar,7 Bedroom,2.0,6.0,195.0,7,9750000.0
5th Phase JP Nagar,2 BHK,2.0,2.0,63.0,2,3150000.0
Kalena Agrahara,3 BHK,2.0,3.0,125.0,3,6250000.0
Electronic City,2 BHK,2.0,2.0,32.64,2,1632000.0
Devanahalli Road,3 BHK,2.0,3.0,92.0,3,4600000.0
Ejipura,3 BHK,2.0,3.0,110.0,3,5500000.0
Horamavu Banaswadi,4 Bedroom,2.0,4.0,105.0,4,5250000.0
Bhoganhalli,2 BHK,2.0,2.0,69.09,2,3454500.0
Doddathoguru,2 BHK,2.0,2.0,75.0,2,3750000.0
Kengeri,2 BHK,2.0,2.0,50.0,2,2500000.0
Green Woods Layout,2 BHK,2.0,2.0,66.0,2,3300000.0
Uttarahalli,3 BHK,2.0,2.0,48.48,3,2424000.0
Craig Park Layout,2 BHK,2.0,2.0,148.0,2,7400000.0
Whitefield,3 BHK,2.0,3.0,115.0,3,5750000.0
Immadihalli,2 BHK,2.0,2.0,48.0,2,2400000.0
Banagiri Nagar,3 BHK,2.0,2.0,122.0,3,6100000.0
Ananth Nagar,2 BHK,2.0,2.0,31.5,2,1575000.0
Hiremath Layout,3 BHK,2.0,3.0,70.0,3,3500000.0
Attibele,1 BHK,2.0,1.0,14.0,1,700000.0
Dommasandra,2 BHK,2.0,2.0,50.0,2,2500000.0
Whitefield,2 BHK,2.0,2.0,95.05,2,4752500.0
Whitefield,2 BHK,2.0,2.0,39.0,2,1950000.0
Kalena Agrahara,2 BHK,2.0,2.0,40.0,2,2000000.0
Malleshpalya,2 BHK,2.0,2.0,46.86,2,2343000.0
Whitefield,3 BHK,2.0,3.0,72.0,3,3600000.0
Ramagondanahalli,3 BHK,2.0,2.0,111.0,3,5550000.0
Jalahalli,2 BHK,2.0,2.0,125.0,2,6250000.0
Jnanabharathi Layout,3 Bedroom,2.0,3.0,75.0,3,3750000.0
Kaggalipura,2 BHK,2.0,2.0,39.0,2,1950000.0
Muneshwara Nagar,3 BHK,2.0,2.0,66.0,3,3300000.0
Chandapura,2 BHK,2.0,2.0,27.0,2,1350000.0
Chandapura,2 Bedroom,2.0,2.0,60.0,2,3000000.0
Malleshpalya,3 BHK,2.0,3.0,75.0,3,3750000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,63.53,2,3176500.0
Electronic City,2 BHK,2.0,2.0,42.0,2,2100000.0
Thigalarapalya,2 BHK,2.0,2.0,112.0,2,5600000.0
Kundalahalli,2 BHK,2.0,2.0,49.0,2,2450000.0
Chikkasandra,2 BHK,2.0,2.0,42.0,2,2100000.0
Varthur,2 BHK,2.0,2.0,66.5,2,3325000.0
Mahadevpura,2 BHK,2.0,2.0,57.6,2,2880000.0
Sarjapur  Road,2 BHK,2.0,2.0,72.0,2,3600000.0
Kanakpura Road,3 BHK,2.0,3.0,92.15,3,4607500.0
Bharath Housing Society Layout,4 Bedroom,2.0,3.0,200.0,4,10000000.0
Chikka Tirupathi,5 Bedroom,2.0,5.0,105.0,5,5250000.0
Hebbal,4 BHK,2.0,5.0,198.0,4,9900000.0
EPIP Zone,2 BHK,2.0,2.0,86.98,2,4349000.0
Konanakunte,3 BHK,2.0,2.0,73.0,3,3650000.0
Whitefield,2 BHK,2.0,2.0,71.0,2,3550000.0
3rd Block Jayanagar,2 BHK,2.0,2.0,130.0,2,6500000.0
Thigalarapalya,2 BHK,2.0,2.0,103.0,2,5150000.0
Sarjapur  Road,1 BHK,615.0,1.0,17.835,1,2900.0
Vijayanagar,3 BHK,2.0,3.0,100.0,3,5000000.0
Rayasandra,3 BHK,2.0,3.0,72.0,3,3600000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,41.39,2,2069500.0
Kadugodi,4 Bedroom,2.0,4.0,210.0,4,10500000.0
Doddakallasandra,2 BHK,2.0,2.0,40.39,2,2019500.0
Sarjapur,2 BHK,2.0,2.0,42.0,2,2100000.0
HSR Layout,3 BHK,2.0,3.0,95.0,3,4750000.0
Malleshpalya,2 BHK,2.0,2.0,50.0,2,2500000.0
Horamavu Banaswadi,2 BHK,2.0,2.0,58.0,2,2900000.0
Padmanabhanagar,5 Bedroom,2.0,4.0,440.0,5,22000000.0
Hormavu,3 BHK,2.0,3.0,73.0,3,3650000.0
Hoodi,4 Bedroom,2.0,4.0,140.0,4,7000000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,38.24,2,1912000.0
Ulsoor,3 BHK,2.0,3.0,450.0,3,22500000.0
JP Nagar,2 BHK,2.0,2.0,33.6,2,1680000.0
HSR Layout,3 BHK,2.0,3.0,90.0,3,4500000.0
Manjunatha Layout,2 BHK,2.0,2.0,60.0,2,3000000.0
Kanakapura,2 BHK,2.0,2.0,32.69,2,1634500.0
Yelahanka,3 Bedroom,2.0,3.0,251.0,3,12550000.0
Konanakunte Cross,2 Bedroom,2.0,1.0,180.0,2,9000000.0
Uttarahalli,3 BHK,2.0,2.0,46.55,3,2327500.0
Hosur Road,3 BHK,2.0,2.0,80.63,3,4031500.0
Banjara Layout,3 BHK,2.0,2.0,48.0,3,2400000.0
Begur,3 BHK,2.0,3.0,75.0,3,3750000.0
Uttarahalli,5 Bedroom,2.0,5.0,200.0,5,10000000.0
Chikka Tirupathi,3 Bedroom,2.0,4.0,80.27,3,4013500.0
Rajaji Nagar,4 BHK,2.0,4.0,540.0,4,27000000.0
Parappana Agrahara,2 BHK,2.0,2.0,47.0,2,2350000.0
Kanakpura Road,2 BHK,2.0,2.0,46.0,2,2300000.0
Abbaiah Reddy Layout,3 BHK,2.0,2.0,50.0,3,2500000.0
Kanakpura Road,2 BHK,2.0,2.0,46.0,2,2300000.0
Singasandra,4 Bedroom,2.0,6.0,195.0,4,9750000.0
Kogilu,7 Bedroom,2.0,7.0,88.0,7,4400000.0
Yelachenahalli,2 BHK,2.0,1.0,150.0,2,7500000.0
Koramangala,2 BHK,2.0,2.0,100.0,2,5000000.0
Yelahanka,6 Bedroom,2.0,6.0,110.0,6,5500000.0
Lakshmi Layout,3 BHK,2.0,3.0,120.0,3,6000000.0
Tavarekere,4 Bedroom,2.0,4.0,72.0,4,3600000.0
Bisuvanahalli,2 BHK,2.0,2.0,33.0,2,1650000.0
Yelahanka,3 BHK,2.0,3.0,120.0,3,6000000.0
Immadihalli,2 BHK,2.0,2.0,68.0,2,3400000.0
Hoodi,3 BHK,2.0,3.0,75.77,3,3788500.0
Srinivasa Nagar,2 BHK,2.0,2.0,55.0,2,2750000.0
Jigani,3 BHK,2.0,3.0,54.0,3,2700000.0
Thirumenahalli,3 BHK,2.0,2.0,42.33,3,2116500.0
Whitefield,2 BHK,2.0,2.0,61.3,2,3065000.0
Hebbal,3 BHK,2.0,4.0,189.0,3,9450000.0
Kengeri,5 Bedroom,2.0,5.0,500.0,5,25000000.0
KPC Layout,2 BHK,2.0,2.0,62.0,2,3100000.0
Yelahanka,2 BHK,2.0,2.0,40.0,2,2000000.0
JP Nagar,9 Bedroom,2.0,9.0,360.0,9,18000000.0
Sarjapur,4 Bedroom,2.0,5.0,110.0,4,5500000.0
Ardendale,4 BHK,2.0,4.0,200.0,4,10000000.0
HOSUR MAIN ROAD,3 BHK,2.0,3.0,56.0,3,2800000.0
Hebbal,4 BHK,2.0,5.0,215.0,4,10750000.0
Begur,4 Bedroom,2.0,4.0,130.0,4,6500000.0
Sarjapur  Road,4 BHK,2.0,4.0,310.0,4,15500000.0
Electronic City,2 BHK,2.0,2.0,37.5,2,1875000.0
Nandi Durga Road,3 BHK,2.0,3.0,250.0,3,12500000.0
Rajiv Nagar,3 BHK,2.0,3.0,125.0,3,6250000.0
Hosa Road,2 BHK,2.0,2.0,31.89,2,1594500.0
Cooke Town,3 Bedroom,2.0,3.0,390.0,3,19500000.0
Kumara Park,3 BHK,2.0,4.0,350.0,3,17500000.0
Daadys Gaarden Layout,3 BHK,2.0,3.0,80.0,3,4000000.0
Maruthi Nagar,3 BHK,2.0,3.0,39.5,3,1975000.0
Bommanahalli,1 BHK,2.0,1.0,19.5,1,975000.0
Marathahalli,4 BHK,2.0,5.0,212.0,4,10600000.0
Munnekollal,3 BHK,2.0,3.0,68.0,3,3400000.0
Whitefield,2 BHK,2.0,2.0,40.0,2,2000000.0
Sahakara Nagar,2 BHK,2.0,2.0,48.0,2,2400000.0
Kudlu Gate,3 BHK,2.0,2.0,92.0,3,4600000.0
Sarjapur  Road,4 BHK,3430.0,6.0,228.5,4,6661.807580174927
Hosa Road,2 BHK,2.0,2.0,37.1,2,1855000.0
Kothannur,3 BHK,2.0,2.0,60.0,3,3000000.0
Chikkabanavar,3 Bedroom,2.0,2.0,80.0,3,4000000.0
Ramamurthy Nagar,3 Bedroom,2.0,3.0,75.0,3,3750000.0
Hennur Road,3 BHK,2.0,2.0,92.0,3,4600000.0
Marsur,3 Bedroom,2.0,4.0,66.0,3,3300000.0
Shampura,2 BHK,2.0,2.0,53.0,2,2650000.0
Gubbalala,3 Bedroom,2.0,3.0,75.0,3,3750000.0
Kengeri,2 BHK,2.0,2.0,58.0,2,2900000.0
Kereguddadahalli,6 Bedroom,2.0,4.0,60.0,6,3000000.0
Nagarbhavi,3 Bedroom,2.0,3.0,160.0,3,8000000.0
Marathahalli,3 BHK,2.0,3.0,89.0,3,4450000.0
Kanakapura,1 BHK,2.0,1.0,30.0,1,1500000.0
Electronics City Phase 1,2 BHK,2.0,2.0,52.0,2,2600000.0
Balagere,2 BHK,2.0,2.0,78.5,2,3925000.0
Kasavanhalli,3 BHK,2.0,2.0,52.0,3,2600000.0
Gubbalala,3 BHK,2.0,3.0,125.0,3,6250000.0
AECS Layout,2 BHK,2.0,2.0,42.0,2,2100000.0
Frazer Town,3 BHK,2.0,3.0,180.0,3,9000000.0
Karuna Nagar,3 BHK,2.0,2.0,34.0,3,1700000.0
Kodihalli,3 BHK,2.0,4.0,270.0,3,13500000.0
Kallumantapa,2 BHK,2.0,2.0,50.0,2,2500000.0
Ramamurthy Nagar,2 Bedroom,2.0,3.0,72.0,2,3600000.0
Kaverappa Layout,2 BHK,2.0,2.0,68.0,2,3400000.0
Electronic City Phase II,2 BHK,2.0,2.0,59.0,2,2950000.0
Mysore Road,2 BHK,2.0,2.0,62.0,2,3100000.0
Malimakanapura,3 Bedroom,2.0,3.0,70.0,3,3500000.0
Medahalli,2 BHK,2.0,2.0,51.0,2,2550000.0
Talaghattapura,3 BHK,2038.5,3.0,120.0,3,5886.681383370125
Attibele,1 BHK,2.0,1.0,17.0,1,850000.0
Hulimavu,2 BHK,2.0,2.0,43.2,2,2160000.0
Kattigenahalli,4 Bedroom,2.0,4.0,155.0,4,7750000.0
Rustam Bagh Layout,2 BHK,2.0,2.0,65.0,2,3250000.0
Electronics City Phase 1,2 BHK,2.0,2.0,33.0,2,1650000.0
New Thippasandra,4 Bedroom,2.0,2.0,120.0,4,6000000.0
Harlur,2 BHK,2.0,2.0,50.0,2,2500000.0
Horamavu Agara,3 BHK,2.0,2.0,75.0,3,3750000.0
Garden Layout,3 BHK,2.0,3.0,93.93,3,4696500.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,53.8,2,2690000.0
Viswapriyanagar.begur Road.bommanahalli.,4 BHK,2.0,5.0,85.0,4,4250000.0
Konanakunte,4 BHK,2.0,4.0,160.0,4,8000000.0
Basavangudi,3 BHK,2.0,2.0,162.0,3,8100000.0
"Hoodi Circle, ",2 BHK,2.0,2.0,58.0,2,2900000.0
Rachenahalli,3 BHK,2.0,2.0,74.39,3,3719500.0
Judicial Layout,3 BHK,2.0,3.0,162.0,3,8100000.0
Yelahanka,3 BHK,2.0,3.0,82.0,3,4100000.0
Sarjapur  Road,4 BHK,2.0,4.0,300.0,4,15000000.0
Electronic City Phase II,2 BHK,2.0,2.0,28.88,2,1444000.0
Ananth Nagar,2 BHK,2.0,2.0,24.55,2,1227500.0
Hennur Road,2 BHK,2.0,2.0,89.0,2,4450000.0
Binny Pete,3 BHK,2.0,3.0,178.0,3,8900000.0
Yelahanka,1 BHK,2.0,1.0,38.4,1,1920000.0
Bannerghatta Road,2 BHK,2.0,2.0,55.0,2,2750000.0
Bisuvanahalli,3 BHK,2.0,2.0,45.0,3,2250000.0
2nd Stage Nagarbhavi,4 Bedroom,2.0,4.0,245.0,4,12250000.0
T K Reddy Layout,3 BHK,2.0,3.0,75.0,3,3750000.0
Herohalli,5 Bedroom,2.0,6.0,44.5,5,2225000.0
Kumbena Agrahara,6 Bedroom,2.0,4.0,135.0,6,6750000.0
Whitefield,3 BHK,2.0,3.0,54.65,3,2732500.0
Whitefield,3 BHK,2.0,3.0,89.0,3,4450000.0
"Pai layout , Mahadevapura",6 BHK,2.0,4.0,214.0,6,10700000.0
Whitefield,3 BHK,2.0,3.0,88.0,3,4400000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,56.17,2,2808500.0
Whitefield,5 Bedroom,2.0,5.0,900.0,5,45000000.0
Kanakpura Road,2 BHK,2.0,2.0,90.0,2,4500000.0
frazertown,3 BHK,2.0,3.0,210.0,3,10500000.0
Akshayanagara East,5 Bedroom,2.0,4.0,300.0,5,15000000.0
Bannerghatta,3 Bedroom,2.0,3.0,57.0,3,2850000.0
Old Madras Road,4 BHK,3715.0,6.0,224.5,4,6043.06864064603
Kereguddadahalli,3 BHK,2.0,2.0,48.0,3,2400000.0
Kadugodi,5 BHK,2.0,5.0,135.0,5,6750000.0
Hebbal Kempapura,4 Bedroom,2.0,4.0,215.0,4,10750000.0
Yelahanka,2 BHK,2.0,2.0,46.0,2,2300000.0
Hebbal,2 BHK,2.0,2.0,54.0,2,2700000.0
Kaikondrahalli,3 BHK,2.0,3.0,100.0,3,5000000.0
Doddanekundi,3 BHK,2.0,3.0,176.0,3,8800000.0
Venkatadri Layout,1 BHK,2.0,1.0,42.0,1,2100000.0
Bommenahalli,3 Bedroom,2.0,3.0,125.0,3,6250000.0
JP Nagar,4 BHK,4624.5,4.0,314.5,4,6800.735214617796
Mahaganapathy Nagar,2 BHK,2.0,2.0,67.0,2,3350000.0
Huskur,2 BHK,2.0,2.0,31.48,2,1574000.0
Ramagondanahalli,1 Bedroom,2.0,1.0,30.0,1,1500000.0
Sarjapur  Road,2 BHK,2.0,2.0,60.0,2,3000000.0
9th Phase JP Nagar,3 BHK,2.0,2.0,85.0,3,4250000.0
Belathur,2 BHK,2.0,2.0,53.0,2,2650000.0
Kattigenahalli,7 Bedroom,2.0,7.0,125.0,7,6250000.0
Ulsoor,2 BHK,2.0,2.0,120.0,2,6000000.0
Kathriguppe,3 BHK,2.0,2.0,68.48,3,3424000.0
Rustam Bagh Layout,2 BHK,2.0,2.0,86.0,2,4300000.0
Panathur,2 BHK,2.0,2.0,86.0,2,4300000.0
Chandapura,2 BHK,2.0,2.0,25.4,2,1270000.0
Marathahalli,3 BHK,2.0,3.0,70.0,3,3500000.0
Gunjur,3 BHK,2.0,3.0,75.0,3,3750000.0
Electronics City Phase 1,3 BHK,2.0,3.0,84.0,3,4200000.0
Whitefield,2 BHK,2.0,2.0,62.0,2,3100000.0
Andrahalli,4 Bedroom,2.0,4.0,235.0,4,11750000.0
Singena Agrahara,3 Bedroom,2.0,3.0,95.0,3,4750000.0
HBR Layout,3 BHK,2.0,2.0,200.0,3,10000000.0
R.T. Nagar,2 Bedroom,2.0,2.0,120.0,2,6000000.0
Vittal Nagar,2 BHK,2.0,2.0,50.0,2,2500000.0
Sadashiva Nagar,4 BHK,2.0,5.0,480.0,4,24000000.0
Electronic City Phase II,3 BHK,2.0,2.0,38.13,3,1906500.0000000002
2Electronic City Phase II,27 BHK,2.0,27.0,230.0,27,11500000.0
Ardendale,4 BHK,2.0,4.0,160.0,4,8000000.0
Kasavanhalli,2 BHK,2.0,2.0,50.0,2,2500000.0
Uttarahalli,2 BHK,2.0,2.0,30.0,2,1500000.0
Bisuvanahalli,2 BHK,2.0,2.0,37.0,2,1850000.0
Kambipura,2 BHK,2.0,2.0,39.0,2,1950000.0
Brookefield,3 BHK,2.0,3.0,88.0,3,4400000.0
Whitefield,2 BHK,2.0,2.0,85.0,2,4250000.0
3rd Block Banashankari,4 Bedroom,2.0,2.0,550.0,4,27500000.0
Bhuvaneshwari Nagar,2 BHK,2.0,2.0,35.0,2,1750000.0
Choodasandra,2 BHK,2.0,2.0,57.0,2,2850000.0
Shanthala Nagar,2 BHK,2.0,1.0,230.0,2,11500000.0
Harlur,3 BHK,2.0,3.0,132.0,3,6600000.0
Anekal,1 BHK,2.0,1.0,16.5,1,825000.0
Jnanabharathi Layout,4 Bedroom,2.0,3.0,142.0,4,7100000.0
Sarjapur,2 BHK,2.0,2.0,44.0,2,2200000.0
Kadarenahalli,10 Bedroom,2.0,10.0,90.0,10,4500000.0
EPIP Zone,2 BHK,2.0,2.0,93.36,2,4668000.0
8th Phase JP Nagar,2 BHK,2.0,2.0,42.47,2,2123500.0
JP Nagar,2 BHK,2.0,2.0,45.0,2,2250000.0
Bannerghatta Road,3 BHK,2.0,2.0,72.0,3,3600000.0
Whitefield,3 Bedroom,2.0,3.0,68.5,3,3425000.0
Laggere,1 BHK,2.0,1.0,48.0,1,2400000.0
Kammasandra,3 BHK,2.0,2.0,39.0,3,1950000.0
Hosa Road,3 BHK,2.0,3.0,115.0,3,5750000.0
Victoria Layout,5 Bedroom,2.0,5.0,625.0,5,31250000.0
Prithvi Layout,4 Bedroom,2.0,4.0,162.0,4,8100000.0
Mysore Road,2 BHK,2.0,2.0,45.47,2,2273500.0
